Year,Name,Position,Age,Club Name,League Name,Matches Played,Goals,Assists,Points
1975,Hervé Revelli,Centre-Forward,29,Saint-Étienne,Ligue 2,29,12,0,12
1975,Cheikh Diallo,Attack,24,Troyes AF,Ligue 2,28,12,0,12
1975,Mustapha Dahleb,Left Winger,23,Paris SG,Ligue 1,32,12,0,12
1975,Johan Neeskens,Central Midfield,23,Barcelona,LaLiga,32,12,0,12
1975,Josef Kaczor,Centre-Forward,22,VfL Bochum,Bundesliga,27,12,0,12
1975,Henri Michel,Defensive Midfield,27,FC Nantes,Ligue 1,38,12,0,12
1975,François M'Pelé,Centre-Forward,27,Paris SG,Ligue 1,37,12,0,12
1975,Christian-Jacques Castellan,Attack,29,Ol. Avignon,France,36,12,0,12
1976,Dieter Müller,Centre-Forward,22,1.FC Köln,Bundesliga,34,34,0,34
1976,Gerd Müller,Centre-Forward,30,Bayern Munich,Bundesliga,25,28,3,31
1976,Carlos Bianchi,Centre-Forward,27,Stade Reims,Ligue 1,37,28,0,28
1976,Bernd Hölzenbein,Attacking Midfield,30,E. Frankfurt,Bundesliga,30,26,0,26
1976,Michel Platini,Attacking Midfield,21,AS Nancy,Championnat National,38,25,0,25
1976,Wolfgang Frank,Centre-Forward,25,E. Braunschweig,2. Bundesliga,32,24,0,24
1976,Mario Kempes,Centre-Forward,21,Valencia,LaLiga,34,24,0,24
1976,Klaus Fischer,Centre-Forward,26,FC Schalke 04,2. Bundesliga,31,24,0,24
1976,Nico Braun,Centre-Forward,25,FC Metz,Ligue 1,36,23,0,23
1976,Mustapha Dahleb,Left Winger,24,Paris SG,Ligue 1,38,22,0,22
1976,Manolo Clares,Attack,28,Barcelona,LaLiga,32,22,0,22
1976,Hugo Curioni,Centre-Forward,29,FC Metz,Ligue 1,37,22,0,22
1976,Francesco Graziani,Centre-Forward,23,AC Torino,Serie A,30,21,1,22
1976,Dragan Dzajic,Left Winger,30,SEC Bastia,Ligue 2,35,21,0,21
1976,François Félix,Centre-Forward,27,SEC Bastia,Ligue 2,38,21,0,21
1976,Bernard Lacombe,Centre-Forward,23,Olympique Lyon,Ligue 1,36,21,0,21
1976,Josef Kaczor,Centre-Forward,23,VfL Bochum,Bundesliga,34,21,0,21
1976,Horst Hrubesch,Centre-Forward,25,RW Essen,3. Liga,26,20,0,20
1976,Rüdiger Wenzel,Centre-Forward,23,E. Frankfurt,Bundesliga,34,20,0,20
1976,Benny Wendt,Centre-Forward,25,TeBe Berlin,NOFV-Oberliga Nord,30,20,0,20
1976,Jesús Satrustegui,Centre-Forward,22,Real Sociedad,LaLiga,33,19,0,19
1976,Nenad Bjekovic,Second Striker,28,OGC Nice,Ligue 1,32,19,0,19
1976,Rubén Cano,Centre-Forward,25,Atlético Madrid,LaLiga,33,19,0,19
1976,Jacky Vergnes,Centre-Forward,27,Stade Lavallois,Ligue 2,36,19,0,19
1976,Klaus Toppmöller,Centre-Forward,24,1.FC K'lautern,2. Bundesliga,34,19,0,19
1976,Roberto Pruzzo,Centre-Forward,21,Genoa,Serie A,30,18,1,19
1976,André Barthélemy,Attack,22,Angers SCO,Ligue 2,37,18,0,18
1976,Roberto Bettega,Centre-Forward,25,Juventus,Serie A,29,17,1,18
1976,Norbert Janzon,Right Winger,25,Karlsruher SC,2. Bundesliga,34,16,2,18
1976,Giuseppe Savoldi,Centre-Forward,29,Napoli,Serie A,28,16,1,17
1976,Lobo Diarte,Centre-Forward,22,Valencia,LaLiga,27,16,0,16
1976,Alain Giresse,Attacking Midfield,23,G. Bordeaux,Ligue 2,37,16,0,16
1976,Paolo Pulici,Centre-Forward,26,AC Torino,Serie A,29,16,0,16
1976,Omar Sahnoun,Attacking Midfield,20,FC Nantes,Ligue 1,31,15,0,15
1976,Gilbert Dussier,Attack,26,AS Nancy,Championnat National,36,15,0,15
1976,Jupp Heynckes,Centre-Forward,31,Bor. M'gladbach,Bundesliga,20,15,0,15
1976,Willi Reimann,Centre-Forward,26,Hamburger SV,2. Bundesliga,34,15,0,15
1976,François M'Pelé,Centre-Forward,28,Paris SG,Ligue 1,34,15,0,15
1976,Karl-Heinz Granitza,Centre-Forward,24,Hertha BSC,2. Bundesliga,27,15,0,15
1976,Jacques Zimako,Left Winger,24,SEC Bastia,Ligue 2,37,14,0,14
1976,Manfred Burgsmüller,Attacking Midfield,26,Bor. Dortmund,Bundesliga,24,14,0,14
1976,Robert Pintenat,Centre-Forward,28,FC Sochaux,Championnat National,33,14,0,14
1976,Claude Papi,Attacking Midfield,27,SEC Bastia,Ligue 2,37,14,0,14
1976,Daniel Jeandupeux,Centre-Forward,27,G. Bordeaux,Ligue 2,30,14,0,14
1976,Olivier Rouyer,Right Winger,20,AS Nancy,Championnat National,37,14,0,14
1976,Harry Ellbracht,Centre-Forward,22,Saarbrücken,3. Liga,30,13,1,14
1976,Ronald Worm,Centre-Forward,22,MSV Duisburg,3. Liga,34,13,1,14
1976,Arno Steffenhagen,Left Winger,26,Hamburger SV,2. Bundesliga,32,13,1,14
1976,Allan Simonsen,Second Striker,23,Bor. M'gladbach,Bundesliga,34,12,2,14
1976,Rüdiger Abramczik,Right Winger,20,FC Schalke 04,2. Bundesliga,31,10,4,14
1977,Carlos Bianchi,Centre-Forward,28,Paris SG,Ligue 1,38,37,0,37
1977,Gerd Müller,Centre-Forward,31,Bayern Munich,Bundesliga,33,24,7,31
1977,Delio Onnis,Centre-Forward,29,Monaco,Ligue 1,35,29,0,29
1977,Nenad Bjekovic,Second Striker,29,OGC Nice,Ligue 1,35,29,0,29
1977,Mario Kempes,Centre-Forward,22,Valencia,LaLiga,34,28,0,28
